route_id,route_short_name,route_color,route_type
1,1,FFFFFF,bus
10,10,ed1c24,bus
100,100,ed1c24,bus
101,101,ed1c24,bus
102,102,ed1c24,bus
103,103,ed1c24,bus
104,104,ed1c24,bus
105,105,ed1c24,bus
106,106,ed1c24,bus
107,107,ed1c24,bus
108,108,ed1c24,bus
109,109,ed1c24,bus
11,11,ed1c24,bus
110,110,ed1c24,bus
111,111,ed1c24,bus
112,112,ed1c24,bus
113,113,ed1c24,bus
114,114,ed1c24,bus
115,115,ed1c24,bus
116,116,ed1c24,bus
117,117,ed1c24,bus
118,118,ed1c24,bus
119,119,ed1c24,bus
12,12,ed1c24,bus
120,120,ed1c24,bus
121,121,ed1c24,bus
122,122,ed1c24,bus
123,123,ed1c24,bus
124,124,ed1c24,bus
125,125,ed1c24,bus
126,126,ed1c24,bus
127,127,ed1c24,bus
129,129,ed1c24,bus
13,13,ed1c24,bus
130,130,ed1c24,bus
131,131,ed1c24,bus
132,132,ed1c24,bus
133,133,ed1c24,bus
134,134,ed1c24,bus
135,135,ed1c24,bus
14,14,ed1c24,bus
145,145,ed1c24,bus
149,149,ed1c24,bus
15,15,ed1c24,bus
151,151,ed1c24,bus
154,154,ed1c24,bus
156,156,ed1c24,bus
158,158,ed1c24,bus
16,16,ed1c24,bus
160,160,ed1c24,bus
161,161,ed1c24,bus
162,162,ed1c24,bus
164,164,ed1c24,bus
165,165,ed1c24,bus
166,166,ed1c24,bus
167,167,ed1c24,bus
168,168,ed1c24,bus
169,169,ed1c24,bus
17,17,ed1c24,bus
171,171,ed1c24,bus
18,18,ed1c24,bus
184,184,ed1c24,bus
185,185,ed1c24,bus
189,189,ed1c24,bus
19,19,ed1c24,bus
191,191,ed1c24,bus
2,2,FFFFFF,bus
20,20,ed1c24,bus
200,200,e472ac,bus
201,201,e472ac,bus
202,202,e472ac,bus
203,203,e472ac,bus
21,21,ed1c24,bus
22,22,ed1c24,bus
23,23,ed1c24,bus
24,24,ed1c24,bus
25,25,ed1c24,bus
26,26,ed1c24,bus
27,27,ed1c24,bus
28,28,ed1c24,bus
29,29,ed1c24,bus
30,30,ed1c24,bus
300,300,0054a6,bus
301,301,0054a6,streetcar
304,304,0054a6,streetcar
305,305,0054a6,streetcar
306,306,0054a6,streetcar
307,307,0054a6,bus
31,31,ed1c24,bus
310,310,0054a6,streetcar
312,312,0054a6,streetcar
315,315,0054a6,bus
316,316,0054a6,bus
32,32,ed1c24,bus
320,320,0054a6,bus
322,322,0054a6,bus
324,324,0054a6,bus
325,325,0054a6,bus
329,329,0054a6,bus
33,33,ed1c24,bus
334,334,0054a6,bus
335,335,0054a6,bus
336,336,0054a6,bus
337,337,0054a6,bus
339,339,0054a6,bus
34,34,ed1c24,bus
340,340,0054a6,bus
341,341,0054a6,bus
343,343,0054a6,bus
345,345,0054a6,bus
35,35,ed1c24,bus
352,352,0054a6,bus
353,353,0054a6,bus
354,354,0054a6,bus
36,36,ed1c24,bus
363,363,0054a6,bus
365,365,0054a6,bus
37,37,ed1c24,bus
373,373,0054a6,bus
